Lijst Overzicht Reserveringen 

Datum: 21.09.2015 tot 22.05.2016 
Opleiding : 51230411 MA ING WET: COMPUTERWET. 
Studiejaar: alle 

Afdrukdatum: 14.12.2015 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|Event ID|Event Nr| Week|Datum |Dagnaam |Aanvang |Einde |Ects D| Objid D|Code |Teken|Objid SM|Objectomschrijving |Objid SC|S|Status Lok |Status Lok |Mnemonic|Lokaal Nr| Obj.-ID|Cap G|Lokaal |Code |Tekst gebouw |Straat en huisnummer |Plaats |Postcode|Lnd|S|Status Les |Status Les |Lesgever |Pers.nr.|Pers.nr.|Tekst Vak |Opmerking |Afhandeling |Reeksinfo |Alg. omsch|Reeksinfo Accent |Opm. Accen|Afh. Accen| 
|53324884| 1|201539|25.09.2015|Vrijdag |08:30:00|10:30:00|H03F0a|50448301|H03F0A|P |50448362|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |01.07 |50075327| 40 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|R. Cools | 16438| 16438| Technisch-wetenschappelijke software: hoorcollege | | | | | | | | 
|53309833| 1|201539|25.09.2015|Vrijdag |09:00:00|10:30:00|H02D2a|50286661|H02D2A|K |50290468|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|C300 |00.08 |50075272| 214 |AUD. B |391-11|Instituut voor Mechanica |Celestijnenlaan 300 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|L. De Raedt | 10316| 10316| Uncertainty in Artificial Intelligence: Lecture | | | | | | | | 
|53309833| 1|201539|25.09.2015|Vrijdag |09:00:00|10:30:00|H02D2a|50286661|H02D2A|K |50290468|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|C300 |00.08 |50075272| 214 |AUD. B |391-11|Instituut voor Mechanica |Celestijnenlaan 300 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|T. De Laet | 89691| 46457| Uncertainty in Artificial Intelligence: Lecture | | | | | | | | 
|53308375| 1|201539|25.09.2015|Vrijdag |10:30:00|13:00:00|H04J9a|50448278|H04J9B|K |51231362|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.144 |50849433| 60 |Seminarielokaal |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|R. Wuyts | 55525| 55525| Ontwerp van softwaresystemen: hoorcollege | Dubbele boeking HN00 oké (gelijktijdige activiteit) | | | | | | | 
|53311485| 2|201539|25.09.2015|Vrijdag |10:30:00|12:30:00|H01F2a|50270933|H01F2A|K |50271075|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200G |00.06 |50075287| 292 | |492-11|Kandidatuur Scheikunde |Celestijnenlaan 200g |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Cattrysse | 14059| 14059| Bedrijfskunde & Entrepreneurship: hoorcollege | | | | | | | | 
|53306725| 1|201539|25.09.2015|Vrijdag |14:00:00|16:00:00|D0R19a|50505311|D0R19A|K |50505356|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|PSI |02.51 |50075019| 111 | |110-01|Psychologisch Instituut |Tiensestraat 102 |Leuven |3000 |BE |1|@08\QStatus@|Goedgekeurd|F. Put | 3768| 3768| Simulation Theory and Applications | nazicht2 | | | | | | | 
|53308390| 1|201539|25.09.2015|Vrijdag |14:00:00|16:00:00|H04K5a|50448158|H04K5A|P |50448408|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.225 |50721558| 125 |AUDITORIUM COMPUTERWETENSCHAPPEN |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|F. Piessens | 18905| 18905| Development of Secure Software: Lecture | | | | | | | | 
|53311983| 1|201539|25.09.2015|Vrijdag |14:00:00|18:00:00|G0Q55a|50307003|G0Q55A|P |50307062|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.03 |50075357| 50 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|E. Duval | 16838| 16838| Fundamenten van Mens-machine interactie | | | | | | | | 
|53312451| 1|201539|25.09.2015|Vrijdag |14:00:00|16:00:00|H03F9a|50448293|H03F9A|P |50448366|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |01.03 |50075356| 50 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Roose | 6989| 6989| Parallel Computing: Lecture | | | | | | | | 
|53310270| 1|201539|25.09.2015|Vrijdag |16:00:00|18:00:00|H02B1a|50286640|H02B1A|K |50290516|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.04 |50075355| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|M. Moens | 37861| 12108| Natural Language Processing: Lecture | | | | | | | | 
|53310270| 1|201539|25.09.2015|Vrijdag |16:00:00|18:00:00|H02B1a|50286640|H02B1A|K |50290516|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.04 |50075355| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|V. Vandeghinste | 35370| 35370| Natural Language Processing: Lecture | | | | | | | | 
|53311800| 1|201540|28.09.2015|Maandag |10:30:00|12:30:00|H04G1a|50448317|H04G1B|K |51231338|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.225 |50721558| 125 |AUDITORIUM COMPUTERWETENSCHAPPEN |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|B. De Decker | 4864| 4864| Besturingssystemen: hoorcollege | | | | | | | | 
|53306725| 2|201540|28.09.2015|Maandag |13:00:00|15:00:00|D0R19a|50505311|D0R19A|K |50505356|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|HOGM |00.85 |50074936| 72 | |172-22|Huis De Munter |Naamsestraat 69 |Leuven |3000 |BE |1|@08\QStatus@|Goedgekeurd|F. Put | 3768| 3768| Simulation Theory and Applications | nazicht2 | | | | | | | 
|53311867| 1|201540|28.09.2015|Maandag |14:00:00|16:00:00|G0Q57a|50307005|G0Q57A|K |50307063|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|BOKU |03.22 |50359127| 90 | |334-30|Instituut Burgerlijke Bouwkunde|Kasteelpark Arenberg 40 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|W. Michiels | 11378| 11378| Modellering en simulatie | | klassieke overheadprojector (glas) nodig| | | | | | 
